,owner,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,average
47,PARKVIEW TERRACE MHP,0.002898015,0.001029432,0.002245038,0.002217659,0.002737851,0.002737851,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,0.000164271,,0.000494533
48,PERFORMANCE PRODUCTS INC,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,0.071950719,,0.071950719
49,PREMCOR REFINING GROUP,2.302532512,2.187301848,1.88510883,3.352543737,3.355744285,3.359716496,2.692395893,2.988350445,2.923597536,3.123887748,3.039014374,3.039014374,3.416837782,3.301848049,1.330595483,2.749897331,2.749897331,2.838603696,2.836632444,2.598110883,2.6491718,3.308583162,0.359616701,0.633166324,0.890915811,1.05309514,1.101790554,1.072109514,1.094984257,1.100750171,1.047311595,1.202447447,2.535522913,2.4263162,1.686207962,0.946099723,0.851500663,0.756901603,0.662302543,,2.08847244
50,RANGELAND PARK MHP,0.000249144,0.000205339,0.001916496,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,0.001763176,,0.001688341
51,RIVER LAKES GOLF COURSE,,,,,,,,,,,0.020533881,0.024640657,0.004014554,0.004014554,0.004623126,0.005231697,0.005840268,0.00644884,0.007057411,0.007665982,0.006753365,0.005840748,0.004928131,0.021902806,0.016427105,0.016427105,0.013963039,0.011498973,0.011498973,0.011498973,0.011498973,0.011498973,0.011498973,0.005256674,0.005256674,0.005256674,0.005256674,0.005256674,0.005256674,,0.009546453
52,ROCKWOOD PIGMENTS,0.915642519,0.826513892,1.401779603,2.07937577,2.098562628,2.50513347,2.765229295,2.05338809,2.694647502,2.114973306,2.114973306,1.442910335,1.442910335,1.442910335,1.442910335,1.442910335,1.442910335,0.400246407,0.368008214,0.77289462,0.753638622,0.734382624,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,0.715126626,,1.164461654
53,ROXANA,0.56000547,0.540303901,0.582800821,0.656194387,0.648870637,0.571937029,0.547945243,0.547945243,0.599513073,0.599513073,0.599513073,0.599513073,0.567301027,0.567301027,0.569584942,0.693063107,0.84542642,0.798528131,0.758864066,0.266119097,0.73816564,0.732390965,0.776717317,0.854461328,0.94113347,0.888257358,0.903403149,0.998767967,1.168643395,1.097878166,1.040383299,0.960164271,1.008821355,1.035143053,1.06146475,0.933607118,0.889253936,0.864339493,0.864339493,,0.766091753
54,SIU EDWARDSVILLE,,,,,,,,,,,,,,0.00054757,0.001309475,0.00207138,0.002833284,0.003595189,0.004357094,0.005118999,0.005880903,0.005880903,0.005880903,0.005880903,0.005880903,0.00569473,0.010888433,0.009130915,0.007373397,0.00561588,0.00561588,0.013063929,0.004569747,0.00349076,0.001177276,0.001177276,0.001177276,0.001177276,0.001177276,,0.004637214
55,SMITHTON,,0.000424367,0.000707734,0.000711567,0.00081013,0.000437933,6.57E-05,0.000276523,0.00115013,0.002023737,0.001097878,0.002600958,0.002600958,0.002464066,0.001916496,0.001410815,0.001505818,0.001736254,0.001966689,0.002197125,0.001505818,0.002259274,0.001909925,0.001560575,0.001211225,0.000861875,0.000512526,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,0.000163176,,0.000996954
56,SMURFIT STONE CONTAINER ENTERPRISES,3.301848049,3.200462697,3.200462697,3.200462697,3.013533196,3.013533196,2.997946612,2.997946612,2.895277207,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,2.792607803,,2.86153095
