p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
402916,11938810,WOOD RIVER REFINERY,1,118,,,790000000,1208000000,917000000,933000000,697000000,722000000,762000000,605000000,725000000,750000000,790000000,789000000,1156000000,738000000,1041213600,1041213600,999000000,831000000,643000000,788000000,700000000,700000000,16128000,16128000,16128000,,,,,,,,,,,,,,
402917,11938810,WOOD RIVER REFINERY,2,107,,,300000000,345000000,398000000,302000000,296000000,307000000,324000000,302000000,298000000,295000000,120000000,158000000,176000000,225000000,203091840,203091840,358000000,334000000,275000000,283000000,290000000,290000000,135855000,135855000,183960000,183960000,183960000,148920000,113880000,78840000,122185585,165531170,,,,,,,
402918,11938810,WOOD RIVER REFINERY,3,80,,,250000000,350000000,283000000,235000000,263000000,273000000,288000000,299000000,264000000,260000000,200000000,158000000,176000000,132000000,163146240,163146240,280000000,247000000,194000000,179463750,164927500,150391250,135855000,135855000,236520000,236520000,236520000,236520000,,,,,,,,,,,
402919,11938810,WOOD RIVER REFINERY,4,98,,,,,,,,,,,,,,,,,202671360,202671360,202671360,,,,,,135855000,135855000,135855000,,,,,,,,,,,,,,
402921,11938810,WOOD RIVER REFINERY,5,114,,,220000000,348000000,375000000,277000000,294000000,305000000,322000000,292000000,295000000,310000000,190000000,158000000,176000000,244000000,187805120,131610240,365000000,198000000,104000000,237000000,240000000,240000000,135855000,135855000,231264000,231264000,231264000,173448000,115632000,78840000,42048000,,,,,,,,
402922,11938810,WOOD RIVER REFINERY,6,105,,,345000000,183000000,283000000,255000000,271000000,281000000,296000000,293000000,272000000,310000000,200000000,158000000,86000000,263000000,239563360,216126720,131000000,230000000,104000000,325000000,325000000,325000000,135855000,135855000,236520000,236520000,236520000,236520000,,,,,,,,,,,
402923,11938810,WOOD RIVER REFINERY,7,99,,,400000000,259000000,384000000,280000000,327000000,339000000,357000000,341000000,326000000,303000000,200000000,158000000,176000000,276000000,292666666.7,309333333.3,326000000,345000000,203000000,259000000,260000000,260000000,135855000,135855000,249660000,249660000,249660000,182646000,115632000,131400000,168192000,225887317,167848338,402170223,259026237,258282911,250254465,169682054,89109643
402952,11938810,WOOD RIVER REFINERY,39,,,,80000000,86000000,100000000,78000000,78000000,77000000,80000000,92000000,99275000,106550000,113825000,121100000,127000000,55000000,52728800,50457600,120000000,130000000,27000000,95000000,100000000,100000000,115454000,115454000,131400000,131400000,131400000,131400000,,,,143821108,160813385,40610551,171117151,170626097,155403027,140179957,
402954,11938810,WOOD RIVER REFINERY,40,,,,100000000,100000000,56000000,63000000,49000000,48000000,44000000,58000000,46000000,50000000,30000000,67900000,32000000,62000000,80826880,99653760,106000000,109000000,103000000,149000000,140000000,140000000,57727000,57727000,105120000,105120000,105120000,105120000,,,,,,,,,,,
402955,11938810,WOOD RIVER REFINERY,41,,,,100000000,90000000,50000000,55000000,55000000,36000000,37000000,43000000,49000000,,,,,,,106801920,,,,,,,,,,,,,,,,,,,,,,,
