,row,col,y1995,x,y,model,diff
106,121,17,392.62,17500.0,98500.0,397.16107177734375,4.5410717773437455
107,121,32,400.34,32500.0,98500.0,399.7095031738281,-0.63049682617185
108,121,38,402.94,38500.0,98500.0,402.52471923828125,-0.4152807617187477
109,122,18,379.51,18500.0,97500.0,397.3320617675781,17.822061767578134
110,122,19,387.1,19500.0,97500.0,397.7887268066406,10.688726806640602
111,124,50,406.26,50500.0,95500.0,402.3878173828125,-3.872182617187491
112,124,62,402.22,62500.0,95500.0,404.5762939453125,2.3562939453124727
113,126,55,404.5,55500.0,93500.0,407.61407470703125,3.11407470703125
114,126,60,395.46000000000004,60500.0,93500.0,388.1025085449219,-7.357491455078161
115,126,61,397.07499999999993,61500.0,93500.0,365.959228515625,-31.115771484374932
116,127,56,405.96,56500.0,92500.0,407.48577880859375,1.5257788085937705
117,129,61,400.52,61500.0,90500.0,407.8070373535156,7.287037353515643
118,131,22,388.61,22500.0,88500.0,382.9499816894531,-5.660018310546889
119,131,24,393.015,24500.0,88500.0,382.939208984375,-10.075791015624986
120,131,55,402.15,55500.0,88500.0,414.0356140136719,11.885614013671898
121,131,58,401.34,58500.0,88500.0,415.7495422363281,14.40954223632815
122,133,18,371.85,18500.0,86500.0,380.84283447265625,8.992834472656227
123,135,26,372.74875,26500.0,84500.0,377.1538391113281,4.405089111328152
124,135,27,371.3925,27500.0,84500.0,379.7308654785156,8.338365478515641
125,135,54,409.42,54500.0,84500.0,416.82049560546875,7.400495605468734
126,136,26,382.52,26500.0,83500.0,375.6292419433594,-6.890758056640607
127,136,27,382.225,27500.0,83500.0,378.5578308105469,-3.6671691894531477
128,136,43,411.1,43500.0,83500.0,409.8479919433594,-1.2520080566406477
129,137,27,384.93,27500.0,82500.0,378.3424072265625,-6.587592773437507
130,137,32,390.845,32500.0,82500.0,382.00152587890625,-8.843474121093777
131,137,35,398.7,35500.0,82500.0,397.45867919921875,-1.2413208007812386
132,139,43,405.805,43500.0,80500.0,411.5906066894531,5.785606689453118
133,139,51,410.69,51500.0,80500.0,419.7518005371094,9.061800537109377
134,139,53,408.23,53500.0,80500.0,420.25469970703125,12.024699707031232
135,143,17,389.77,17500.0,76500.0,388.2966613769531,-1.4733386230468568
136,143,23,396.6,23500.0,76500.0,387.401123046875,-9.198876953125023
137,143,26,396.67499999999995,26500.0,76500.0,390.92852783203125,-5.7464721679687045
138,144,51,413.12,51500.0,75500.0,424.81524658203125,11.695246582031245
139,145,17,397.0,17500.0,74500.0,392.4053039550781,-4.594696044921875
140,145,39,405.59,39500.0,74500.0,409.96160888671875,4.371608886718775
141,146,17,392.4,17500.0,73500.0,394.1893615722656,1.7893615722656477
